position,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,environment_distance,fit_score,key_distance_from_previous,key_camelot
11,76937,3HUMNxBQoCPTg2K8wi7oFb,"giuseppe verdi;riccardo muti;luciano pavarotti;orchestra del teatro alla scala, milano",50 Best Classics,verdi: messa da requiem: ix. ingemisco,20,224106,False,0.217,0.213,3,-15.567,1,0.0409,0.971,0.00612,0.0412,0.107,85.241,5,opera,0.16633599999999998,0.833664,0.0,5B
12,76437,23gtu5AwSpLxPADFXJdkRq,franz lehár;jonas kaufmann;jochen rieder;berlin radio symphony orchestra,Du bist die Welt für mich,"paganini: ""gern hab ich die frau'n geküsst""",23,203426,False,0.152,0.129,3,-19.299,1,0.0401,0.977,0.297,0.15,0.164,77.035,3,opera,0.12360000000000002,0.8764,0.0,5B
13,76002,6fFjbqPoTLlfv4dMdyrrvJ,josh groban;london symphony orchestra,Cuddle Up Christmas,white christmas,1,236800,False,0.235,0.27,3,-12.354,1,0.0353,0.915,0.0106,0.0956,0.0588,114.156,3,opera,0.17424,0.82576,0.0,5B
14,76134,4l7KcjPVAlXttjNfogwNAa,adolphe adam;phil blech wien;anton mittermayr;piotr beczala,Classical Christmas,cantique de noël,0,292173,False,0.279,0.273,3,-9.885,1,0.032,0.984,0.00581,0.136,0.183,66.886,4,opera,0.161838,0.838162,0.0,5B
15,79766,0p8gAcPkDYgzcZZwAou12B,umitaro abe,Cahier de musique / 音楽手帖,"scene i, kyoto",53,87693,False,0.199,0.138,2,-17.578,1,0.0373,0.756,0.7,0.0904,0.214,168.644,3,piano,0.08987999999999999,0.91012,1.0,10B
16,79607,0NEX6oBUy1iu6KALZ1m94c,denise santoz,Phoneme,phoneme,59,171500,False,0.3,0.122,2,-30.482,1,0.0355,0.973,0.909,0.104,0.225,97.192,4,piano,0.1352,0.8648,0.0,10B
17,79376,0DXsxu0TJ8TtrOklnsL6nj,regnør,Night Sky,night sky,61,146973,False,0.285,0.148,2,-32.145,1,0.0372,0.987,0.952,0.0794,0.381,77.603,4,piano,0.11612,0.88388,0.0,10B
18,76186,5JbR2mP2Vou60a1efoBbxA,rolando villazón;wiener sängerknaben;schubert akademie;gerald wirth,pov: you are walking in a winter wonderland,silent night,0,249680,False,0.255,0.229,2,-13.173,1,0.0326,0.974,0.222,0.0711,0.186,82.875,3,opera,0.09898,0.90102,0.0,10B
19,76382,1AyKrTZNf9EVATIvFG4jgI,jacques offenbach;raphaela gromes;wen-sinn yang;julian riem,Offenbach,les contes d'hoffmann: barcarolle (arr. for 2 cellos and piano),25,206426,False,0.231,0.142,2,-18.806,1,0.0466,0.877,0.548,0.0859,0.238,132.44,5,opera,0.048220000000000006,0.95178,0.0,10B
20,16761,16mKMqXTYDNFOo5bW7hmhC,wolfgang amadeus mozart;ingrid haebler;london symphony orchestra;sir colin davis,Mozart: Piano Concertos Nos. 14-21,"piano concerto no. 16 in d major, k. 451: i. allegro assai",5,656786,False,0.342,0.155,2,-19.013,1,0.0372,0.99,0.904,0.0922,0.161,134.91,4,classical,0.14644000000000001,0.85356,0.0,10B
