position,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,environment_distance,fit_score,key_distance_from_previous,key_camelot
11,56131,6vFsBXYczYsP0H3lgunZOm,beach bunny,Honeymoon,cloud 9,79,147350,False,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,4,indie-pop,0.11259476000000002,0.88740524,0.0,12B
12,82354,0D6qZlc6vNR7PDW2RKGPsV,blondie,Autoamerican,rapture - remastered 2001,49,391426,False,0.7,0.845,2,-5.69,1,0.0331,0.403,0.000586,0.34,0.81,107.523,4,power-pop,0.08588280000000005,0.9141172,2.0,10B
13,82118,35wVRTJlUu2kDkqXFegOKt,the cars,Heartbeat City (Expanded Edition),you might think,65,184717,False,0.728,0.855,2,-6.031,1,0.0333,0.109,0.000576,0.113,0.971,133.887,4,power-pop,0.08988480000000001,0.9101152,0.0,10B
14,81686,5cH3LTsDSGNdHMwWsY7gJ6,soham naik;antara mitra;uddipan sharma,Raanjhana Ve,raanjhana ve,64,283195,False,0.628,0.834,4,-4.56,1,0.116,0.575,0.0,0.158,0.747,78.207,4,pop,0.06160000000000001,0.9384,2.0,12B
15,81994,43zT3oDEP3I5FiZWugfqCZ,chitharth,Santhosh Subramaniyam (Original Motion Picture Soundtrack),adada adada,64,245629,False,0.876,0.834,7,-4.653,1,0.137,0.164,0.00021,0.108,0.788,103.012,4,pop,0.05935800000000001,0.940642,3.0,9B
16,81179,6G699QfN1BWYWXfiblH51F,tanishk bagchi;zahrah s khan;dev negi,"Kusu Kusu (From ""Satyameva Jayate 2"")","kusu kusu (from ""satyameva jayate 2"")",71,195616,False,0.742,0.911,8,-2.812,1,0.0572,0.0137,0.00081,0.0593,0.78,101.0,4,pop,0.05277800000000001,0.947222,1.0,4B
17,81558,6TtNVOFQUbQDUbTQwdILH1,jaani;lijo george-dj chetas;sukh-e muzical doctorz;lisa mishra,"Coka 2.0 (From ""Liger"")","coka 2.0 (from ""liger"")",66,166391,False,0.743,0.922,7,-3.025,1,0.121,0.411,2.36e-06,0.287,0.873,96.933,4,pop,0.07279952800000002,0.927200472,1.0,9B
18,81703,42ETKyApzUl8hTtytFAjen,baani sandhu;gur sidhu,8 Parche,8 parche,64,210000,False,0.652,0.862,8,-2.29,0,0.206,0.161,0.0,0.203,0.727,173.859,4,pop,0.05740000000000002,0.9426,1.0,1A
19,56763,6OkmodWuKjwi98Sb3nSuGd,hi-rez;kr$na;tech n9ne;a-f-r-o;joell ortiz;twista;bizzy bone,Overdrive,overdrive,45,431304,True,0.794,0.865,11,-4.918,0,0.0884,0.134,0.0,0.0992,0.648,137.959,4,indie-pop,0.053759999999999995,0.94624,3.0,10A
20,81674,3uOh60vBloFwAv1akxP5Mj,shrey singhal,Fallin for You,fallin for you,66,195338,False,0.625,0.835,11,-3.32,0,0.325,0.211,0.000191,0.0897,0.547,183.826,4,pop,0.1156218,0.8843782,0.0,10A
21,56128,7DIy5vxJsbvAQqtN6zIYvp,rishi rich;roach killa;kiranee,Over You,over you,55,195479,False,0.752,0.834,10,-5.032,0,0.042,0.0012,0.0,0.219,0.604,99.997,4,indie-pop,0.07080000000000002,0.9292,1.0,3A
22,81378,6IWZKBeAkeCzaYNE8SmedK,rochak kohli;jubin nautiyal;neeti mohan,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")","meri zindagi hai tu (from ""satyameva jayate 2"")",69,284233,False,0.649,0.86,6,-4.07,0,0.0359,0.38,0.000547,0.147,0.585,96.025,4,pop,0.08669060000000002,0.9133093999999999,4.0,11A
23,81680,7rr6n1NFIcQXCsi43P0YNl,nawab,Expert Jatt,expert jatt,65,199534,False,0.765,0.948,6,-2.816,0,0.199,0.298,0.0,0.0784,0.647,172.038,4,pop,0.06651999999999998,0.93348,0.0,11A
24,82410,1XT5kxg6Tk0ukCO2vBQN4v,xtc,Drums And Wires,making plans for nigel,60,253800,False,0.632,0.893,7,-6.04,1,0.0455,0.0143,5.24e-06,0.0741,0.773,149.97,4,power-pop,0.06977895200000002,0.9302210479999999,1.0,9B
25,56383,63WuQOXohQIxOxIFA2K7bR,måneskin,SUPERMODEL,supermodel,83,148064,False,0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983,4,indie-pop,0.06900000000000002,0.9309999999999999,0.0,9B
26,56408,4j779sUc98SGgsEP4bl1N5,rishi rich;badshah;vishal dadlani;payal dev,Bhare Bazaar,bhare bazaar,46,214285,False,0.855,0.849,11,-4.472,1,0.0549,0.276,0.0,0.0302,0.699,126.028,4,indie-pop,0.07036,0.92964,4.0,1B
27,81587,5QKiLD7zEXvQc8VlFYmqhb,jaani;lijo george-dj chetas;ram miriyala;geetha madhuri;sukh-e muzical doctorz,"Coka 2.0 [From ""Liger (Telugu)""]","coka 2.0 (from ""liger (telugu)"")",66,166391,False,0.802,0.929,7,-2.036,1,0.118,0.608,4.81e-06,0.157,0.828,96.969,4,pop,0.035399037999999994,0.964600962,4.0,9B
28,56801,3ZcLmonVVD1MTQtmQb8yf3,labrinth,Lift Off,lift off,66,184933,False,0.815,0.845,9,-6.832,0,0.0457,0.416,1.54e-06,0.117,0.955,129.874,4,indie-pop,0.07659969199999997,0.9234003080000001,2.0,8A
29,82250,5fiH8RdAqIR6bSokyYRn2d,andrew gold;dma illan,Spooky Scary Skeletons (DMA ILLAN Trap Remix),"spooky, scary skeletons - dma illan remix",50,160560,False,0.689,0.937,7,-4.389,1,0.0889,0.0208,0.0519,0.0687,0.835,77.045,4,power-pop,0.06824000000000002,0.9317599999999999,2.0,9B
30,56143,5Hroj5K7vLpIG4FNCRIjbP,american authors,"Oh, What A Life",best day of my life,79,194240,False,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,4,indie-pop,0.1019876,0.8980124,5.0,10B
31,56503,3IznIgmXtrUaoPWpQTy5jB,tv girl,Who Really Cares,not allowed,82,167864,True,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,4,indie-pop,0.10915460000000002,0.8908454,1.0,3B
32,82751,7z8k6KAvjHX3RtkYNhIC9B,the cars,Heartbeat City,magic,48,237093,False,0.683,0.806,9,-7.574,1,0.042,0.125,0.000548,0.191,0.962,118.032,4,power-pop,0.09769039999999998,0.9023096,4.0,11B
33,82412,3oyc1mIdCBGaU55wX7otqM,elvis costello & the attractions,This Year's Model (2021 Remaster),pump it up - 2021 remaster,62,196680,False,0.645,0.809,11,-6.12,1,0.0385,0.00921,0.00108,0.106,0.966,138.978,4,power-pop,0.115984,0.884016,2.0,1B
34,56916,1pNUmVxDiE8t6P1XxcZAv8,wallows,Nothing Happens,scrawny,70,166520,True,0.639,0.816,6,-5.28,0,0.0485,0.000985,0.0604,0.141,0.802,138.008,4,indie-pop,0.06828000000000004,0.93172,5.0,11A
35,81211,6epn3r7S14KUqlReYr77hA,justin bieber;ludacris,My World 2.0,baby,82,214240,False,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,4,pop,0.0884,0.9116,1.0,4A
36,81265,4qoIqWSly3rnZdCTgtcCMz,harvi,Pta Mainu,pta mainu,69,164666,False,0.678,0.825,3,-4.417,0,0.196,0.0527,0.0,0.0963,0.631,90.047,4,pop,0.08894,0.91106,2.0,2A
37,56827,6zDs6zI94L761vd0cVScTT,american authors,What We Live For,i'm born to run,66,206920,False,0.62,0.93,8,-5.615,1,0.0486,0.0662,0.0,0.0788,0.675,126.041,4,indie-pop,0.08624000000000001,0.91376,5.0,4B
38,56965,3YJhk1j7I3JGekpNKVf0Jn,thaikkudam bridge,Navarasam,urumbu,38,313624,False,0.632,0.883,11,-6.232,0,0.0537,0.0284,0.0,0.169,0.661,100.002,4,indie-pop,0.06599999999999999,0.934,3.0,10A
